Planning District,Outdoor Recreation Opportunity,Percentage response
Accomack-Northampton,Historic areas,33.00%
Accomack-Northampton,Natural areas,47.00%
Accomack-Northampton,Parks,48.00%
Accomack-Northampton,"Playing fields, sports and golf facilities",27.00%
Accomack-Northampton,Scenic drives for driving pleasure,25.00%
Accomack-Northampton,Trails,40.00%
Accomack-Northampton,Water access,47.00%
Central Shenandoah,Historic areas,47.00%
Central Shenandoah,Natural areas,65.00%
Central Shenandoah,Parks,38.00%
Central Shenandoah,"Playing fields, sports and golf facilities",11.00%
Central Shenandoah,Scenic drives for driving pleasure,32.00%
Central Shenandoah,Trails,38.00%
Central Shenandoah,Water access,35.00%
Commonwealth Council,Historic areas,46.00%
Commonwealth Council,Natural areas,55.00%
Commonwealth Council,Parks,58.00%
Commonwealth Council,"Playing fields, sports and golf facilities",26.00%
Commonwealth Council,Scenic drives for driving pleasure,29.00%
Commonwealth Council,Trails,37.00%
Commonwealth Council,Water access,38.00%
Crater,Historic areas,43.00%
Crater,Natural areas,40.00%
Crater,Parks,45.00%
Crater,"Playing fields, sports and golf facilities",31.00%
Crater,Scenic drives for driving pleasure,27.00%
Crater,Trails,30.00%
Crater,Water access,46.00%
Cumberland Plateau,Historic areas,37.00%
Cumberland Plateau,Natural areas,49.00%
Cumberland Plateau,Parks,52.00%
Cumberland Plateau,"Playing fields, sports and golf facilities",15.00%
Cumberland Plateau,Scenic drives for driving pleasure,43.00%
Cumberland Plateau,Trails,45.00%
Cumberland Plateau,Water access,55.00%
George Washington,Historic areas,43.00%
George Washington,Natural areas,54.00%
George Washington,Parks,41.00%
George Washington,"Playing fields, sports and golf facilities",22.00%
George Washington,Scenic drives for driving pleasure,27.00%
George Washington,Trails,52.00%
George Washington,Water access,33.00%
Hampton Roads,Historic areas,42.00%
Hampton Roads,Natural areas,47.00%
Hampton Roads,Parks,56.00%
Hampton Roads,"Playing fields, sports and golf facilities",21.00%
Hampton Roads,Scenic drives for driving pleasure,28.00%
Hampton Roads,Trails,42.00%
Hampton Roads,Water access,43.00%
LENOWISCO,Historic areas,37.00%
LENOWISCO,Natural areas,49.00%
LENOWISCO,Parks,52.00%
LENOWISCO,"Playing fields, sports and golf facilities",15.00%
LENOWISCO,Scenic drives for driving pleasure,43.00%
LENOWISCO,Trails,45.00%
LENOWISCO,Water access,55.00%
Middle Peninsula,Historic areas,33.00%
Middle Peninsula,Natural areas,47.00%
Middle Peninsula,Parks,48.00%
Middle Peninsula,"Playing fields, sports and golf facilities",27.00%
Middle Peninsula,Scenic drives for driving pleasure,25.00%
Middle Peninsula,Trails,40.00%
Middle Peninsula,Water access,47.00%
Mount Rogers,Historic areas,42.00%
Mount Rogers,Natural areas,50.00%
Mount Rogers,Parks,47.00%
Mount Rogers,"Playing fields, sports and golf facilities",19.00%
Mount Rogers,Scenic drives for driving pleasure,34.00%
Mount Rogers,Trails,36.00%
Mount Rogers,Water access,46.00%
New River Valley,Historic areas,43.00%
New River Valley,Natural areas,62.00%
New River Valley,Parks,51.00%
New River Valley,"Playing fields, sports and golf facilities",22.00%
New River Valley,Scenic drives for driving pleasure,25.00%
New River Valley,Trails,46.00%
New River Valley,Water access,53.00%
Northern Neck,Historic areas,33.00%
Northern Neck,Natural areas,47.00%
Northern Neck,Parks,48.00%
Northern Neck,"Playing fields, sports and golf facilities",27.00%
Northern Neck,Scenic drives for driving pleasure,25.00%
Northern Neck,Trails,40.00%
Northern Neck,Water access,47.00%
Northern Shenandoah Valley,Historic areas,31.00%
Northern Shenandoah Valley,Natural areas,61.00%
Northern Shenandoah Valley,Parks,43.00%
Northern Shenandoah Valley,"Playing fields, sports and golf facilities",13.00%
Northern Shenandoah Valley,Scenic drives for driving pleasure,29.00%
Northern Shenandoah Valley,Trails,47.00%
Northern Shenandoah Valley,Water access,34.00%
Northern Virginia,Historic areas,34.00%
Northern Virginia,Natural areas,53.00%
Northern Virginia,Parks,51.00%
Northern Virginia,"Playing fields, sports and golf facilities",28.00%
Northern Virginia,Scenic drives for driving pleasure,19.00%
Northern Virginia,Trails,46.00%
Northern Virginia,Water access,39.00%
Rappahannock-Rapidan,Historic areas,40.00%
Rappahannock-Rapidan,Natural areas,50.00%
Rappahannock-Rapidan,Parks,44.00%
Rappahannock-Rapidan,"Playing fields, sports and golf facilities",21.00%
Rappahannock-Rapidan,Scenic drives for driving pleasure,23.00%
Rappahannock-Rapidan,Trails,43.00%
Rappahannock-Rapidan,Water access,43.00%
Region 2000,Historic areas,49.00%
Region 2000,Natural areas,59.00%
Region 2000,Parks,50.00%
Region 2000,"Playing fields, sports and golf facilities",19.00%
Region 2000,Scenic drives for driving pleasure,32.00%
Region 2000,Trails,41.00%
Region 2000,Water access,43.00%
Richmond,Historic areas,42.00%
Richmond,Natural areas,55.00%
Richmond,Parks,52.00%
Richmond,"Playing fields, sports and golf facilities",25.00%
Richmond,Scenic drives for driving pleasure,28.00%
Richmond,Trails,42.00%
Richmond,Water access,40.00%
Roanoke Valley-Alleghany,Historic areas,37.00%
Roanoke Valley-Alleghany,Natural areas,58.00%
Roanoke Valley-Alleghany,Parks,40.00%
Roanoke Valley-Alleghany,"Playing fields, sports and golf facilities",17.00%
Roanoke Valley-Alleghany,Scenic drives for driving pleasure,31.00%
Roanoke Valley-Alleghany,Trails,49.00%
Roanoke Valley-Alleghany,Water access,45.00%
Southside,Historic areas,46.00%
Southside,Natural areas,55.00%
Southside,Parks,58.00%
Southside,"Playing fields, sports and golf facilities",26.00%
Southside,Scenic drives for driving pleasure,29.00%
Southside,Trails,37.00%
Southside,Water access,38.00%
Statewide,Historic areas,39.00%
Statewide,Natural areas,54.00%
Statewide,Parks,49.00%
Statewide,"Playing fields, sports and golf facilities",22.00%
Statewide,Scenic drives for driving pleasure,29.00%
Statewide,Trails,43.00%
Statewide,Water access,43.00%
Thomas Jefferson,Historic areas,30.00%
Thomas Jefferson,Natural areas,64.00%
Thomas Jefferson,Parks,50.00%
Thomas Jefferson,"Playing fields, sports and golf facilities",17.00%
Thomas Jefferson,Scenic drives for driving pleasure,22.00%
Thomas Jefferson,Trails,45.00%
Thomas Jefferson,Water access,45.00%
West Piedmont,Historic areas,43.00%
West Piedmont,Natural areas,46.00%
West Piedmont,Parks,46.00%
West Piedmont,"Playing fields, sports and golf facilities",21.00%
West Piedmont,Scenic drives for driving pleasure,34.00%
West Piedmont,Trails,31.00%
West Piedmont,Water access,45.00%
